Date,Product ID,Category,Seasonality,Units Sold,Price
2015/1/1,1,Chicken,Winter,17,18.56818182
2015/1/1,2,Chicken,Winter,6,17.75
2015/1/1,3,Chicken,Winter,5,19.75
2015/1/1,4,Classic,Winter,15,15.65
2015/1/1,5,Veggie,Winter,11,18.5
2015/1/1,6,Veggie,Winter,5,14.75
2015/1/1,7,Classic,Winter,7,12.6875
2015/1/1,8,Classic,Winter,4,16.25
2015/1/1,9,Supreme,Winter,8,14.9
2015/1/1,10,Chicken,Winter,13,19.75
2015/1/2,1,Chicken,Winter,14,16.75
2015/1/2,2,Chicken,Winter,7,19.15
2015/1/2,3,Chicken,Winter,3,16.75
2015/1/2,4,Classic,Winter,9,15.5
2015/1/2,5,Veggie,Winter,9,18.5
2015/1/2,6,Veggie,Winter,7,19.4
2015/1/2,7,Classic,Winter,12,14.13888889
2015/1/2,8,Classic,Winter,10,17.66666667
2015/1/2,9,Supreme,Winter,13,15.59375
2015/1/2,10,Chicken,Winter,11,17.19444444
2015/1/3,1,Chicken,Winter,9,18.35
2015/1/3,2,Chicken,Winter,16,18.08333333
2015/1/3,3,Chicken,Winter,5,16.75
2015/1/3,4,Classic,Winter,6,16.1
2015/1/3,5,Veggie,Winter,5,18.5
2015/1/3,6,Veggie,Winter,12,16.64285714
2015/1/3,7,Classic,Winter,14,14.1875
2015/1/3,8,Classic,Winter,9,15.41666667
2015/1/3,9,Supreme,Winter,4,14.5
2015/1/3,10,Chicken,Winter,18,17.95
2015/1/4,1,Chicken,Winter,15,18.56818182
2015/1/4,2,Chicken,Winter,7,18.35
2015/1/4,3,Chicken,Winter,1,20.75
2015/1/4,4,Classic,Winter,8,19.375
2015/1/4,5,Veggie,Winter,6,18.5
2015/1/4,6,Veggie,Winter,1,16
2015/1/4,7,Classic,Winter,7,12.6875
2015/1/4,8,Classic,Winter,6,16.1
2015/1/4,9,Supreme,Winter,6,16.625
2015/1/4,10,Chicken,Winter,6,19.15
2015/1/5,1,Chicken,Winter,2,18.75
2015/1/5,2,Chicken,Winter,15,16.75
2015/1/5,3,Chicken,Winter,2,20.75
2015/1/5,4,Classic,Winter,14,14.77777778
2015/1/5,5,Veggie,Winter,10,18.5
2015/1/5,6,Veggie,Winter,2,16
2015/1/5,7,Classic,Winter,8,12.9
2015/1/5,8,Classic,Winter,7,16.1
2015/1/5,9,Supreme,Winter,3,16.625
2015/1/5,10,Chicken,Winter,11,18.08333333
2015/1/6,1,Chicken,Winter,7,18.75
2015/1/6,2,Chicken,Winter,7,18.08333333
2015/1/6,3,Chicken,Winter,3,20.75
2015/1/6,4,Classic,Winter,16,15.31818182
2015/1/6,5,Veggie,Winter,8,18.5
2015/1/6,6,Veggie,Winter,7,16.0625
2015/1/6,7,Classic,Winter,17,12.63636364
2015/1/6,8,Classic,Winter,2,12
2015/1/6,9,Supreme,Winter,3,18.625
2015/1/6,10,Chicken,Winter,16,18.75
2015/1/7,1,Chicken,Winter,7,16.08333333
2015/1/7,2,Chicken,Winter,9,17.55
2015/1/7,3,Chicken,Winter,8,15.41666667
2015/1/7,4,Classic,Winter,8,16.83333333
2015/1/7,5,Veggie,Winter,6,18.5
2015/1/7,6,Veggie,Winter,12,15.5
2015/1/7,7,Classic,Winter,10,14.32142857
2015/1/7,8,Classic,Winter,2,16
2015/1/7,9,Supreme,Winter,2,16.5
2015/1/7,10,Chicken,Winter,9,18.75
2015/1/8,1,Chicken,Winter,9,18.75
2015/1/8,2,Chicken,Winter,9,16.08333333
2015/1/8,3,Chicken,Winter,2,20.75
2015/1/8,4,Classic,Winter,6,17.125
2015/1/8,5,Veggie,Winter,10,18.5
2015/1/8,6,Veggie,Winter,11,15.03125
2015/1/8,7,Classic,Winter,17,13.83333333
2015/1/8,8,Classic,Winter,8,13.6
2015/1/8,9,Supreme,Winter,6,14.5
2015/1/8,10,Chicken,Winter,13,20.17857143
2015/1/9,1,Chicken,Winter,5,15.41666667
2015/1/9,2,Chicken,Winter,7,16.75
2015/1/9,3,Chicken,Winter,5,18.08333333
2015/1/9,4,Classic,Winter,14,14.27777778
2015/1/9,5,Veggie,Winter,8,18.5
2015/1/9,6,Veggie,Winter,4,16.125
2015/1/9,7,Classic,Winter,8,12.25
2015/1/9,8,Classic,Winter,3,18.25
2015/1/9,9,Supreme,Winter,6,18.6875
2015/1/9,10,Chicken,Winter,7,18.35
2015/1/10,1,Chicken,Winter,8,17.41666667
2015/1/10,2,Chicken,Winter,12,18.46428571
2015/1/10,3,Chicken,Winter,2,20.75
2015/1/10,4,Classic,Winter,12,16.1875
2015/1/10,5,Veggie,Winter,8,18.5
2015/1/10,6,Veggie,Winter,8,15.25
2015/1/10,7,Classic,Winter,5,15.41666667
2015/1/10,8,Classic,Winter,3,16.25
2015/1/10,9,Supreme,Winter,8,18.2
2015/1/10,10,Chicken,Winter,6,16.75
2015/1/11,1,Chicken,Winter,8,16.08333333
2015/1/11,2,Chicken,Winter,6,14.75
2015/1/11,3,Chicken,Winter,8,15.15
2015/1/11,4,Classic,Winter,4,14.66666667
2015/1/11,6,Veggie,Winter,7,17.0625
2015/1/11,7,Classic,Winter,6,12
2015/1/11,8,Classic,Winter,8,15.3
2015/1/11,10,Chicken,Winter,6,17.75
2015/1/12,1,Chicken,Winter,11,17.75
2015/1/12,2,Chicken,Winter,7,14.75
2015/1/12,3,Chicken,Winter,3,15.41666667
2015/1/12,4,Classic,Winter,4,15
2015/1/12,5,Veggie,Winter,2,18.5
2015/1/12,6,Veggie,Winter,3,12
2015/1/12,7,Classic,Winter,8,14.1
2015/1/12,8,Classic,Winter,4,20.5
2015/1/12,9,Supreme,Winter,2,16.5
2015/1/12,10,Chicken,Winter,9,18.75
2015/1/13,1,Chicken,Winter,8,19.41666667
2015/1/13,2,Chicken,Winter,7,15.15
2015/1/13,3,Chicken,Winter,4,18.08333333
2015/1/13,4,Classic,Winter,7,16.9
2015/1/13,5,Veggie,Winter,4,18.5
2015/1/13,6,Veggie,Winter,9,16.04166667
2015/1/13,7,Classic,Winter,4,10.5
2015/1/13,8,Classic,Winter,11,18
2015/1/13,10,Chicken,Winter,9,19.95
2015/1/14,1,Chicken,Winter,8,17.41666667
2015/1/14,2,Chicken,Winter,8,17.55
2015/1/14,3,Chicken,Winter,7,19.95
2015/1/14,4,Classic,Winter,12,16.21428571
2015/1/14,5,Veggie,Winter,11,18.5
2015/1/14,6,Veggie,Winter,11,17.21428571
2015/1/14,7,Classic,Winter,11,12.60714286
2015/1/14,8,Classic,Winter,12,16.78571429
2015/1/14,9,Supreme,Winter,9,17.29166667
2015/1/14,10,Chicken,Winter,5,18.75
2015/1/15,1,Chicken,Winter,8,19.15
2015/1/15,2,Chicken,Winter,7,17.55
2015/1/15,4,Classic,Winter,7,14.5
2015/1/15,5,Veggie,Winter,6,18.5
2015/1/15,6,Veggie,Winter,8,16
2015/1/15,7,Classic,Winter,11,12.21428571
2015/1/15,8,Classic,Winter,2,12
2015/1/15,9,Supreme,Winter,5,16.58333333
2015/1/15,10,Chicken,Winter,9,19.03571429
2015/1/16,1,Chicken,Winter,14,16.75
2015/1/16,2,Chicken,Winter,12,16.25
2015/1/16,3,Chicken,Winter,1,20.75
2015/1/16,4,Classic,Winter,10,15.42857143
2015/1/16,5,Veggie,Winter,9,18.5
2015/1/16,6,Veggie,Winter,10,17.45833333
2015/1/16,7,Classic,Winter,3,10.5
2015/1/16,8,Classic,Winter,11,19
2015/1/16,9,Supreme,Winter,3,12.5
2015/1/16,10,Chicken,Winter,11,17.41666667
2015/1/17,1,Chicken,Winter,13,18.56818182
2015/1/17,2,Chicken,Winter,14,18.35
2015/1/17,3,Chicken,Winter,4,18.75
2015/1/17,4,Classic,Winter,4,17.5
2015/1/17,6,Veggie,Winter,6,17.125
2015/1/17,7,Classic,Winter,14,12.6875
2015/1/17,8,Classic,Winter,5,17.66666667
2015/1/17,9,Supreme,Winter,2,14.5
2015/1/17,10,Chicken,Winter,11,18.97222222
2015/1/18,1,Chicken,Winter,14,17.19444444
2015/1/18,2,Chicken,Winter,14,17.63888889
2015/1/18,3,Chicken,Winter,3,16.75
2015/1/18,4,Classic,Winter,10,16.14285714
2015/1/18,5,Veggie,Winter,4,18.5
2015/1/18,6,Veggie,Winter,3,18.125
2015/1/18,7,Classic,Winter,7,15
2015/1/18,8,Classic,Winter,5,17.66666667
2015/1/18,9,Supreme,Winter,4,16.58333333
2015/1/18,10,Chicken,Winter,7,16.75
2015/1/19,1,Chicken,Winter,6,18.35
2015/1/19,2,Chicken,Winter,13,15.86111111
2015/1/19,3,Chicken,Winter,4,18.75
2015/1/19,4,Classic,Winter,4,15.125
2015/1/19,5,Veggie,Winter,6,18.5
2015/1/19,6,Veggie,Winter,7,15.0625
2015/1/19,7,Classic,Winter,12,13.47222222
2015/1/19,8,Classic,Winter,10,19.21428571
2015/1/19,10,Chicken,Winter,11,17.75
2015/1/20,1,Chicken,Winter,4,16.75
2015/1/20,2,Chicken,Winter,15,17.55
2015/1/20,3,Chicken,Winter,2,12.75
2015/1/20,4,Classic,Winter,10,15.5625
2015/1/20,5,Veggie,Winter,17,18.5
2015/1/20,6,Veggie,Winter,7,13.6
2015/1/20,7,Classic,Winter,3,16.5
2015/1/20,8,Classic,Winter,6,15.3
2015/1/20,9,Supreme,Winter,12,16.58333333
2015/1/20,10,Chicken,Winter,9,18.35
2015/1/21,1,Chicken,Winter,5,16.75
2015/1/21,2,Chicken,Winter,10,15.75
2015/1/21,3,Chicken,Winter,6,15.41666667
2015/1/21,4,Classic,Winter,4,16
2015/1/21,5,Veggie,Winter,5,18.5
2015/1/21,6,Veggie,Winter,14,15
2015/1/21,7,Classic,Winter,10,12.95833333
2015/1/21,8,Classic,Winter,6,13
2015/1/21,9,Supreme,Winter,8,12.5
2015/1/21,10,Chicken,Winter,11,19.60714286
2015/1/22,1,Chicken,Winter,15,16.30555556
2015/1/22,2,Chicken,Winter,9,16.08333333
2015/1/22,3,Chicken,Winter,7,15.95
2015/1/22,4,Classic,Winter,12,13.2
2015/1/22,5,Veggie,Winter,13,18.5
2015/1/22,6,Veggie,Winter,10,14.85714286
2015/1/22,7,Classic,Winter,17,13.47222222
2015/1/22,8,Classic,Winter,8,17.66666667
2015/1/22,9,Supreme,Winter,2,16.5
2015/1/22,10,Chicken,Winter,12,17.75
2015/1/23,1,Chicken,Winter,16,16.38636364
2015/1/23,2,Chicken,Winter,10,19.41666667
2015/1/23,3,Chicken,Winter,1,12.75
2015/1/23,4,Classic,Winter,8,15.3
2015/1/23,5,Veggie,Winter,9,18.5
2015/1/23,6,Veggie,Winter,5,17.5
2015/1/23,7,Classic,Winter,6,13.95833333
2015/1/23,8,Classic,Winter,9,13.71428571
2015/1/23,10,Chicken,Winter,11,16.75
2015/1/24,1,Chicken,Winter,9,15.95
2015/1/24,2,Chicken,Winter,8,16.08333333
2015/1/24,3,Chicken,Winter,3,16.75
2015/1/24,4,Classic,Winter,14,15.625
2015/1/24,5,Veggie,Winter,11,18.5
2015/1/24,6,Veggie,Winter,7,14.45
2015/1/24,7,Classic,Winter,10,11.7
2015/1/24,8,Classic,Winter,8,19.6
2015/1/24,9,Supreme,Winter,7,14.5625
2015/1/24,10,Chicken,Winter,15,17.15
2015/1/25,1,Chicken,Winter,11,18.75
2015/1/25,2,Chicken,Winter,4,16.75
2015/1/25,3,Chicken,Winter,2,12.75
2015/1/25,4,Classic,Winter,2,14
2015/1/25,5,Veggie,Winter,1,18.5
2015/1/25,6,Veggie,Winter,7,18.125
2015/1/25,7,Classic,Winter,5,12
2015/1/25,8,Classic,Winter,9,18.25
2015/1/25,9,Supreme,Winter,1,16.5
2015/1/25,10,Chicken,Winter,7,14.75
2015/1/26,1,Chicken,Winter,3,18.75
2015/1/26,2,Chicken,Winter,10,17.41666667
2015/1/26,3,Chicken,Winter,1,20.75
2015/1/26,4,Classic,Winter,5,16.125
2015/1/26,5,Veggie,Winter,6,18.5
2015/1/26,6,Veggie,Winter,4,16
2015/1/26,7,Classic,Winter,6,15
2015/1/26,8,Classic,Winter,3,16.25
2015/1/26,9,Supreme,Winter,2,12.5
2015/1/26,10,Chicken,Winter,11,19.60714286
2015/1/27,1,Chicken,Winter,7,19.75
2015/1/27,2,Chicken,Winter,8,15.95
2015/1/27,3,Chicken,Winter,3,14.75
2015/1/27,4,Classic,Winter,8,16.1
2015/1/27,5,Veggie,Winter,2,18.5
2015/1/27,6,Veggie,Winter,7,16.95
2015/1/27,7,Classic,Winter,13,13.77777778
2015/1/27,8,Classic,Winter,11,18.57142857
2015/1/27,9,Supreme,Winter,4,13.5
2015/1/27,10,Chicken,Winter,9,18.75
2015/1/28,1,Chicken,Winter,13,19.95
2015/1/28,2,Chicken,Winter,5,18.75
2015/1/28,3,Chicken,Winter,2,18.75
2015/1/28,4,Classic,Winter,12,14.0625
2015/1/28,5,Veggie,Winter,3,18.5
2015/1/28,6,Veggie,Winter,6,16.0625
2015/1/28,7,Classic,Winter,12,13.95833333
2015/1/28,8,Classic,Winter,9,17.1
2015/1/28,10,Chicken,Winter,7,20.75
2015/1/29,1,Chicken,Winter,12,18.52777778
2015/1/29,2,Chicken,Winter,9,16.75
2015/1/29,3,Chicken,Winter,5,18.75
2015/1/29,4,Classic,Winter,2,14
2015/1/29,5,Veggie,Winter,11,18.5
2015/1/29,6,Veggie,Winter,6,14.0625
2015/1/29,7,Classic,Winter,4,14.0625
2015/1/29,8,Classic,Winter,2,18.25
2015/1/29,10,Chicken,Winter,7,19.15
2015/1/30,1,Chicken,Winter,13,18.35
