Date,Product ID,Price,Units Sold
2022/1/1,P0001,41.5,383.7
2022/1/1,P0002,18.29,948.8
2022/1/1,P0003,43.97,123.7
2022/1/1,P0004,23.64,101.3
2022/1/1,P0005,43.74,288.7
2022/1/1,P0006,32.33,359.8
2022/1/1,P0007,21.05,158.7
2022/1/1,P0008,39.38,316.2
2022/1/1,P0009,10.06,188.1
2022/1/1,P0010,38.04,343.4
2022/1/1,P0011,31.47,98.4
2022/1/1,P0012,67.6,59
2022/1/1,P0013,62.14,331.9
2022/1/1,P0014,33.45,242.9
2022/1/1,P0015,69.33,47
2022/1/1,P0016,32.23,135.6
2022/1/1,P0017,39.66,246.4
2022/1/1,P0018,33.26,107.4
2022/1/1,P0019,21.57,405.2
2022/1/1,P0020,34.78,122.8
2022/1/2,P0001,48.19,239.9
2022/1/2,P0002,19.18,844.8
2022/1/2,P0003,50.12,154.6
2022/1/2,P0004,20.75,126.7
2022/1/2,P0005,52.24,323.7
2022/1/2,P0006,42.97,349.1
2022/1/2,P0007,21.07,138.7
2022/1/2,P0008,31.74,306.5
2022/1/2,P0009,13.71,144.3
2022/1/2,P0010,39.57,194.9
2022/1/2,P0011,23.36,114
2022/1/2,P0012,61.61,79.3
2022/1/2,P0013,56.16,458.5
2022/1/2,P0014,28.85,256.1
2022/1/2,P0015,67.95,72.8
2022/1/2,P0016,24.68,296.3
2022/1/2,P0017,33.59,296.3
2022/1/2,P0018,34.49,90.8
2022/1/2,P0019,29.8,527.6
2022/1/2,P0020,43.68,86.7
2022/1/3,P0001,61.24,101.6
2022/1/3,P0002,26.29,334.2
2022/1/3,P0003,56.38,49.4
2022/1/3,P0004,30.74,74.5
2022/1/3,P0005,72.1,126
2022/1/3,P0006,51.92,152.4
2022/1/3,P0007,25.55,91.2
2022/1/3,P0008,47.17,138
2022/1/3,P0009,16.73,72.8
2022/1/3,P0010,60.82,100.2
2022/1/3,P0011,35.65,45.4
2022/1/3,P0012,60.16,42.3
2022/1/3,P0013,79.3,126.6
2022/1/3,P0014,40.69,124.9
2022/1/3,P0015,49.8,51.5
2022/1/3,P0016,39.37,63.5
2022/1/3,P0017,45.22,119.5
2022/1/3,P0018,53.28,23.8
2022/1/3,P0019,33.86,227.4
2022/1/3,P0020,44.87,75.5
2022/1/4,P0001,61.24,140.8
2022/1/4,P0002,26.29,270.6
2022/1/4,P0003,38.27,146
2022/1/4,P0004,30.74,50.2
2022/1/4,P0005,53.31,181.9
2022/1/4,P0006,51.92,119.6
2022/1/4,P0007,25.55,73.5
2022/1/4,P0008,47.17,197.4
2022/1/4,P0009,16.73,130
2022/1/4,P0010,60.82,98.4
2022/1/4,P0011,35.65,51.5
2022/1/4,P0012,79.62,26.2
2022/1/4,P0013,79.3,108.4
2022/1/4,P0014,40.69,150.3
2022/1/4,P0015,64.82,58.1
2022/1/4,P0016,39.37,56.1
2022/1/4,P0017,29.77,222.8
2022/1/4,P0018,53.28,31.8
2022/1/4,P0019,20.57,513.9
2022/1/4,P0020,52.17,51.7
2022/1/5,P0001,61.24,264.5
2022/1/5,P0002,26.29,172.2
2022/1/5,P0003,56.38,71.1
2022/1/5,P0004,30.74,74.1
2022/1/5,P0005,72.1,175.9
2022/1/5,P0006,38.85,390.1
2022/1/5,P0007,25.55,98.6
2022/1/5,P0008,47.17,101.2
2022/1/5,P0009,16.73,108.9
2022/1/5,P0010,60.82,90.7
2022/1/5,P0011,35.65,63.3
2022/1/5,P0012,79.62,30
2022/1/5,P0013,51.13,353.4
2022/1/5,P0014,40.69,151.8
2022/1/5,P0015,77.87,40.6
2022/1/5,P0016,39.37,73.4
2022/1/5,P0017,45.22,169.1
2022/1/5,P0018,53.28,34.3
2022/1/5,P0019,33.86,160.5
2022/1/5,P0020,52.17,39.7
2022/1/6,P0001,61.24,273.4
2022/1/6,P0002,26.29,261.2
2022/1/6,P0003,56.38,91.4
2022/1/6,P0004,30.74,70.9
2022/1/6,P0005,72.1,108.4
2022/1/6,P0006,51.92,190.4
2022/1/6,P0007,25.55,56.8
2022/1/6,P0008,47.17,194.2
2022/1/6,P0009,16.73,68.5
2022/1/6,P0010,60.82,101.7
2022/1/6,P0011,35.65,61.5
2022/1/6,P0012,79.62,36.1
2022/1/6,P0013,79.3,167
2022/1/6,P0014,34.13,288.5
2022/1/6,P0015,77.87,42.8
2022/1/6,P0016,29.1,171.4
2022/1/6,P0017,45.22,196.8
2022/1/6,P0018,53.28,23.7
2022/1/6,P0019,33.86,124.6
2022/1/6,P0020,52.17,56
2022/1/7,P0001,61.24,244.5
2022/1/7,P0002,26.29,197.5
2022/1/7,P0003,56.38,74.2
2022/1/7,P0004,30.74,62
2022/1/7,P0005,72.1,157.8
2022/1/7,P0006,51.92,141.6
2022/1/7,P0007,22.22,195.8
2022/1/7,P0008,47.17,150.9
2022/1/7,P0009,10.45,178
2022/1/7,P0010,60.82,120.2
2022/1/7,P0011,31.26,77.3
2022/1/7,P0012,79.62,26.9
2022/1/7,P0013,79.3,121
2022/1/7,P0014,40.69,85.4
2022/1/7,P0015,77.87,38.1
2022/1/7,P0016,39.37,97.5
2022/1/7,P0017,45.22,105.4
2022/1/7,P0018,53.28,26.5
2022/1/7,P0019,33.86,151.4
2022/1/7,P0020,52.17,60.2
2022/1/8,P0001,54.51,380.3
2022/1/8,P0002,22.36,724.9
2022/1/8,P0003,45.47,168.5
2022/1/8,P0004,25.7,98.2
2022/1/8,P0005,43.79,591.7
2022/1/8,P0006,38.39,262.3
2022/1/8,P0007,20.7,193.2
2022/1/8,P0008,31.13,348.7
2022/1/8,P0009,12.71,164.6
2022/1/8,P0010,44.02,292.5
2022/1/8,P0011,24.45,204.5
2022/1/8,P0012,59.79,83.4
2022/1/8,P0013,68.92,321.4
2022/1/8,P0014,33.3,282.9
2022/1/8,P0015,57.78,71.1
2022/1/8,P0016,33.12,132.7
2022/1/8,P0017,32.63,339.6
2022/1/8,P0018,39.05,55.2
2022/1/8,P0019,22.29,420.6
2022/1/8,P0020,31.89,148.2
2022/1/9,P0001,47.65,336
2022/1/9,P0002,17.86,769.1
2022/1/9,P0003,48.66,224.9
2022/1/9,P0004,19.27,160.8
2022/1/9,P0005,57.63,264.3
2022/1/9,P0006,33.79,500.9
2022/1/9,P0007,17.06,308.4
2022/1/9,P0008,28.66,425.9
2022/1/9,P0009,14.49,155.1
2022/1/9,P0010,51.41,171.1
2022/1/9,P0011,26.61,127.2
2022/1/9,P0012,66.45,66.9
2022/1/9,P0013,61.34,496.7
2022/1/9,P0014,30.16,301.5
2022/1/9,P0015,58.45,76.5
2022/1/9,P0016,26.93,217.2
2022/1/9,P0017,38.8,229.9
2022/1/9,P0018,43.94,51.3
2022/1/9,P0019,25.45,554
2022/1/9,P0020,34.89,133.9
2022/1/10,P0001,61.24,154.2
2022/1/10,P0002,17.06,710
2022/1/10,P0003,56.38,59.1
2022/1/10,P0004,30.74,73.2
2022/1/10,P0005,72.1,134.9
2022/1/10,P0006,39.19,268.7
2022/1/10,P0007,25.55,68.1
2022/1/10,P0008,47.17,153.1
2022/1/10,P0009,16.73,67
2022/1/10,P0010,60.82,145.5
2022/1/10,P0011,35.65,69.3
2022/1/10,P0012,79.62,25.8
2022/1/10,P0013,79.3,178
2022/1/10,P0014,40.69,113
