Date,Product ID,Category,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Holiday/Promotion,Seasonality
2022-01-01,P0001,Personal Care,1911.3,383.7,1200.0,41.5,32.2,Rainy,1,Winter
2022-01-01,P0002,Personal Care,1952.8,948.8,1063.7,18.29,30.4,Rainy,1,Winter
2022-01-01,P0003,Groceries,596.3,123.7,0.0,43.97,22.0,Rainy,1,Winter
2022-01-01,P0004,Personal Care,1168.7,101.3,0.0,23.64,23.1,Rainy,1,Winter
2022-01-01,P0005,Personal Care,1347.6,288.7,786.5,43.74,39.3,Rainy,1,Winter
2022-01-01,P0006,Personal Care,1012.1,359.8,0.0,32.33,37.7,Rainy,1,Winter
2022-01-01,P0007,Snacks,1636.0,158.7,0.0,21.05,17.6,Rainy,1,Winter
2022-01-01,P0008,Snacks,1504.3,316.2,0.0,39.38,16.5,Rainy,1,Winter
2022-01-01,P0009,Snacks,666.9,188.1,0.0,10.06,39.9,Rainy,1,Winter
2022-01-01,P0010,Groceries,1518.1,343.4,0.0,38.04,37.5,Rainy,1,Winter
2022-01-01,P0011,Household,1289.5,98.4,0.0,31.47,11.7,Rainy,1,Winter
2022-01-01,P0012,Groceries,966.3,59.0,0.0,67.6,15.1,Rainy,1,Winter
2022-01-01,P0013,Beverages,1230.4,331.9,0.0,62.14,21.6,Rainy,1,Winter
2022-01-01,P0014,Personal Care,979.6,242.9,0.0,33.45,17.8,Rainy,1,Winter
2022-01-01,P0015,Personal Care,1020.0,47.0,0.0,69.33,11.0,Rainy,1,Winter
2022-01-01,P0016,Household,1422.0,135.6,0.0,32.23,18.1,Rainy,1,Winter
2022-01-01,P0017,Beverages,1326.5,246.4,699.9,39.66,12.3,Rainy,1,Winter
2022-01-01,P0018,Beverages,888.0,107.4,0.0,33.26,37.6,Rainy,1,Winter
2022-01-01,P0019,Groceries,1597.5,405.2,851.0,21.57,36.3,Rainy,1,Winter
2022-01-01,P0020,Household,757.8,122.8,0.0,34.78,33.3,Rainy,1,Winter
2022-01-02,P0001,Personal Care,1671.3,239.9,0.0,48.19,21.3,Rainy,1,Winter
2022-01-02,P0002,Personal Care,1107.9,844.8,0.0,19.18,27.1,Rainy,1,Winter
2022-01-02,P0003,Groceries,441.6,154.6,0.0,50.12,11.1,Rainy,1,Winter
2022-01-02,P0004,Personal Care,1042.0,126.7,0.0,20.75,32.5,Rainy,1,Winter
2022-01-02,P0005,Personal Care,1023.9,323.7,0.0,52.24,27.6,Rainy,1,Winter
2022-01-02,P0006,Personal Care,1897.1,349.1,1234.1,42.97,17.2,Rainy,1,Winter
