Date,Product ID,Category,Units Sold,Inventory Level,Price,Weather Condition,Holiday/Promotion,Seasonality,Discount
2022/1/1,P0001,Household,46,281,34.27,Sunny,1,Winter,8
2022/1/2,P0001,Household,24,257,34.27,Cloudy,0,Winter,0
2022/1/3,P0001,Household,24,233,34.27,Cloudy,0,Winter,0
2022/1/4,P0001,Household,26,207,34.27,Sunny,0,Winter,0
2022/1/5,P0001,Household,34,173,34.27,Sunny,0,Winter,0
2022/1/6,P0001,Household,52,121,34.27,Rainy,0,Winter,0
2022/1/7,P0001,Household,56,359,34.27,Rainy,0,Winter,0
2022/1/8,P0001,Household,40,319,34.27,Cloudy,0,Winter,0
2022/1/9,P0001,Household,41,278,34.27,Sunny,0,Winter,0
2022/1/10,P0001,Household,22,256,34.27,Cloudy,0,Winter,0
2022/1/11,P0001,Household,20,236,34.27,Rainy,0,Winter,0
2022/1/12,P0001,Household,30,206,34.27,Rainy,0,Winter,0
2022/1/13,P0001,Household,44,162,34.27,Rainy,0,Winter,0
2022/1/14,P0001,Household,45,117,34.27,Rainy,0,Winter,0
2022/1/15,P0001,Household,90,392,34.27,Cloudy,0,Winter,0
2022/1/16,P0001,Household,59,333,34.27,Rainy,0,Winter,0
2022/1/17,P0001,Household,23,310,34.27,Sunny,1,Winter,9
2022/1/18,P0001,Household,56,254,34.27,Rainy,0,Winter,0
2022/1/19,P0001,Household,52,202,34.27,Sunny,0,Winter,0
2022/1/20,P0001,Household,41,161,34.27,Sunny,0,Winter,0
2022/1/21,P0001,Household,17,144,34.27,Rainy,0,Winter,0
2022/1/22,P0001,Household,71,371,34.27,Cloudy,0,Winter,0
2022/1/23,P0001,Household,82,289,34.27,Cloudy,1,Winter,15
2022/1/24,P0001,Household,63,226,34.27,Cloudy,0,Winter,0
2022/1/25,P0001,Household,67,159,34.27,Rainy,0,Winter,0
2022/1/26,P0001,Household,20,139,34.27,Sunny,0,Winter,0
2022/1/27,P0001,Household,64,331,34.27,Cloudy,0,Winter,0
2022/1/28,P0001,Household,25,306,34.27,Sunny,0,Winter,0
2022/1/29,P0001,Household,62,244,34.27,Rainy,0,Winter,0
2022/1/30,P0001,Household,63,181,34.27,Rainy,0,Winter,0
2022/1/31,P0001,Household,70,111,34.27,Rainy,0,Winter,0
2022/2/1,P0001,Household,43,433,34.27,Sunny,0,Winter,0
2022/2/2,P0001,Household,58,375,34.27,Rainy,0,Winter,0
2022/2/3,P0001,Household,66,309,34.27,Rainy,0,Winter,0
2022/2/4,P0001,Household,27,282,34.27,Rainy,0,Winter,0
